Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
13,Will the increase of garden lease directly cause plant vigor during watering rounds?,No,Will garden lease cause the increase of watering rounds which in turn causes the increase of plant vigor?,Yes,B_D,garden lease,watering rounds,plant vigor
14,Will the increase of club dues directly cause social bonds during meetup nights?,No,Will club dues cause the increase of meetup nights which in turn causes the increase of social bonds?,Yes,B_D,club dues,meetup nights,social bonds
15,Will the increase of conference ticket directly cause networking skill during poster sessions?,No,Will conference ticket cause the increase of poster sessions which in turn causes the increase of networking skill?,Yes,B_D,conference ticket,poster sessions,networking skill
16,Will the increase of runway access directly cause pilot confidence during landing drills?,No,Will runway access cause the increase of landing drills which in turn causes the increase of pilot confidence?,Yes,B_D,runway access,landing drills,pilot confidence
17,Will the increase of ride credits directly cause attendance punctuality during commute rides?,No,Will ride credits cause the increase of commute rides which in turn causes the increase of attendance punctuality?,Yes,B_D,ride credits,commute rides,attendance punctuality
18,Will the increase of tool checkout directly cause hand dexterity during build sessions?,No,Will tool checkout cause the increase of build sessions which in turn causes the increase of hand dexterity?,Yes,B_D,tool checkout,build sessions,hand dexterity
19,Will the increase of class permit directly cause topic mastery during seminar days?,No,Will class permit cause the increase of seminar days which in turn causes the increase of topic mastery?,Yes,B_D,class permit,seminar days,topic mastery
20,Will the increase of clinic transport directly cause mobility improvement during rehab visits?,No,Will clinic transport cause the increase of rehab visits which in turn causes the increase of mobility improvement?,Yes,B_D,clinic transport,rehab visits,mobility improvement
21,Will the increase of stage rental directly cause performance poise during staging rehearsals?,No,Will stage rental cause the increase of staging rehearsals which in turn causes the increase of performance poise?,Yes,B_D,stage rental,staging rehearsals,performance poise
22,Will the increase of museum voucher directly cause culture knowledge during exhibit tours?,No,Will museum voucher cause the increase of exhibit tours which in turn causes the increase of culture knowledge?,Yes,B_D,museum voucher,exhibit tours,culture knowledge
23,Will the increase of editor access directly cause draft coherence during revision rounds?,No,Will editor access cause the increase of revision rounds which in turn causes the increase of draft coherence?,Yes,B_D,editor access,revision rounds,draft coherence
24,Will the increase of access slots directly cause result precision during replicate tests?,No,Will access slots cause the increase of replicate tests which in turn causes the increase of result precision?,Yes,B_D,access slots,replicate tests,result precision
25,Will the increase of camp registration directly cause focus stamina during study retreats?,No,Will camp registration cause the increase of study retreats which in turn causes the increase of focus stamina?,Yes,B_D,camp registration,study retreats,focus stamina
26,Will the increase of ring bookings directly cause reaction speed during sparring bouts?,No,Will ring bookings cause the increase of sparring bouts which in turn causes the increase of reaction speed?,Yes,B_D,ring bookings,sparring bouts,reaction speed
27,Will the increase of wheel allotment directly cause shape control during pottery throws?,No,Will wheel allotment cause the increase of pottery throws which in turn causes the increase of shape control?,Yes,B_D,wheel allotment,pottery throws,shape control
28,Will the increase of stage allotment directly cause delivery confidence during scene runthroughs?,No,Will stage allotment cause the increase of scene runthroughs which in turn causes the increase of delivery confidence?,Yes,B_D,stage allotment,scene runthroughs,delivery confidence
29,Will the increase of replicate quota directly cause signal accuracy during assay repeats?,No,Will replicate quota cause the increase of assay repeats which in turn causes the increase of signal accuracy?,Yes,B_D,replicate quota,assay repeats,signal accuracy
30,Will the increase of choir roster directly cause pitch stability during vocal rehearsals?,No,Will choir roster cause the increase of vocal rehearsals which in turn causes the increase of pitch stability?,Yes,B_D,choir roster,vocal rehearsals,pitch stability
31,Will the increase of route assignments directly cause map reliability during mapping walks?,No,Will route assignments cause the increase of mapping walks which in turn causes the increase of map reliability?,Yes,B_D,route assignments,mapping walks,map reliability
32,Will the increase of mentor matching directly cause essay cohesion during critique circles?,No,Will mentor matching cause the increase of critique circles which in turn causes the increase of essay cohesion?,Yes,B_D,mentor matching,critique circles,essay cohesion
33,Will the increase of instrument loan directly cause tempo accuracy during rhythm exercises?,No,Will instrument loan cause the increase of rhythm exercises which in turn causes the increase of tempo accuracy?,Yes,B_D,instrument loan,rhythm exercises,tempo accuracy
34,Will the increase of workshop quota directly cause tool mastery during build projects?,No,Will workshop quota cause the increase of build projects which in turn causes the increase of tool mastery?,Yes,B_D,workshop quota,build projects,tool mastery
35,Will the increase of seat capacity directly cause topic retention during lecture visits?,No,Will seat capacity cause the increase of lecture visits which in turn causes the increase of topic retention?,Yes,B_D,seat capacity,lecture visits,topic retention
36,Will the increase of easel slots directly cause line confidence during sketch studies?,No,Will easel slots cause the increase of sketch studies which in turn causes the increase of line confidence?,Yes,B_D,easel slots,sketch studies,line confidence
37,Will the increase of interview roster directly cause insight quality during field interviews?,No,Will interview roster cause the increase of field interviews which in turn causes the increase of insight quality?,Yes,B_D,interview roster,field interviews,insight quality
38,Will the increase of flight tokens directly cause landing accuracy during simulator hours?,No,Will flight tokens cause the increase of simulator hours which in turn causes the increase of landing accuracy?,Yes,B_D,flight tokens,simulator hours,landing accuracy
39,Will the increase of pharmacy staffing directly cause immunity coverage during immunization visits?,No,Will pharmacy staffing cause the increase of immunization visits which in turn causes the increase of immunity coverage?,Yes,B_D,pharmacy staffing,immunization visits,immunity coverage
40,Will the increase of advisor quota directly cause grade recovery during help appointments?,No,Will advisor quota cause the increase of help appointments which in turn causes the increase of grade recovery?,Yes,B_D,advisor quota,help appointments,grade recovery
41,Will the increase of oar rentals directly cause endurance gain during rowing trips?,No,Will oar rentals cause the increase of rowing trips which in turn causes the increase of endurance gain?,Yes,B_D,oar rentals,rowing trips,endurance gain
42,Will the increase of shear supply directly cause fruit yield during pruning cycles?,No,Will shear supply cause the increase of pruning cycles which in turn causes the increase of fruit yield?,Yes,B_D,shear supply,pruning cycles,fruit yield
43,Will the increase of vendor slots directly cause negotiation skill during sales pitches?,No,Will vendor slots cause the increase of sales pitches which in turn causes the increase of negotiation skill?,Yes,B_D,vendor slots,sales pitches,negotiation skill
44,Will the increase of match slots directly cause team synergy during scrimmage games?,No,Will match slots cause the increase of scrimmage games which in turn causes the increase of team synergy?,Yes,B_D,match slots,scrimmage games,team synergy
45,Will the increase of staff hires directly cause reading stamina during library hours?,No,Will staff hires cause the increase of library hours which in turn causes the increase of reading stamina?,Yes,B_D,staff hires,library hours,reading stamina
46,Will the increase of rehearsal space directly cause harmony accuracy during duet runthroughs?,No,Will rehearsal space cause the increase of duet runthroughs which in turn causes the increase of harmony accuracy?,Yes,B_D,rehearsal space,duet runthroughs,harmony accuracy
47,Will the increase of cafe roster directly cause service skill during serving shifts?,No,Will cafe roster cause the increase of serving shifts which in turn causes the increase of service skill?,Yes,B_D,cafe roster,serving shifts,service skill
48,Will the increase of print quota directly cause layout accuracy during proof prints?,No,Will print quota cause the increase of proof prints which in turn causes the increase of layout accuracy?,Yes,B_D,print quota,proof prints,layout accuracy
49,Will the increase of review slots directly cause feedback quality during grading passes?,No,Will review slots cause the increase of grading passes which in turn causes the increase of feedback quality?,Yes,B_D,review slots,grading passes,feedback quality
50,Will the increase of moderator roster directly cause idea refinement during question periods?,No,Will moderator roster cause the increase of question periods which in turn causes the increase of idea refinement?,Yes,B_D,moderator roster,question periods,idea refinement
51,Will the increase of booth space directly cause closing skill during sales conversations?,No,Will booth space cause the increase of sales conversations which in turn causes the increase of closing skill?,Yes,B_D,booth space,sales conversations,closing skill
52,Will the increase of lab supplies directly cause measurement confidence during sample assays?,No,Will lab supplies cause the increase of sample assays which in turn causes the increase of measurement confidence?,Yes,B_D,lab supplies,sample assays,measurement confidence
53,Will the increase of client leads directly cause negotiation skill during sales calls?,No,Will client leads cause the increase of sales calls which in turn causes the increase of negotiation skill?,Yes,B_D,client leads,sales calls,negotiation skill
54,Will the increase of gym shuttle directly cause strength gain during workout trips?,No,Will gym shuttle cause the increase of workout trips which in turn causes the increase of strength gain?,Yes,B_D,gym shuttle,workout trips,strength gain
55,Will the increase of supply orders directly cause assembly speed during build attempts?,No,Will supply orders cause the increase of build attempts which in turn causes the increase of assembly speed?,Yes,B_D,supply orders,build attempts,assembly speed
56,Will the increase of maker hours directly cause joint quality during welding tasks?,No,Will maker hours cause the increase of welding tasks which in turn causes the increase of joint quality?,Yes,B_D,maker hours,welding tasks,joint quality
57,Will the increase of fuel allowance directly cause driving confidence during road trips?,No,Will fuel allowance cause the increase of road trips which in turn causes the increase of driving confidence?,Yes,B_D,fuel allowance,road trips,driving confidence
58,Will the increase of podcast slots directly cause speaking cadence during recorded episodes?,No,Will podcast slots cause the increase of recorded episodes which in turn causes the increase of speaking cadence?,Yes,B_D,podcast slots,recorded episodes,speaking cadence
59,Will the increase of gig listings directly cause stage presence during concert gigs?,No,Will gig listings cause the increase of concert gigs which in turn causes the increase of stage presence?,Yes,B_D,gig listings,concert gigs,stage presence
60,Will the increase of telescope bookings directly cause star knowledge during sky observations?,No,Will telescope bookings cause the increase of sky observations which in turn causes the increase of star knowledge?,Yes,B_D,telescope bookings,sky observations,star knowledge
61,Will the increase of movie coupons directly cause genre awareness during cinema visits?,No,Will movie coupons cause the increase of cinema visits which in turn causes the increase of genre awareness?,Yes,B_D,movie coupons,cinema visits,genre awareness
62,Will the increase of garden plots directly cause harvest yield during planting cycles?,No,Will garden plots cause the increase of planting cycles which in turn causes the increase of harvest yield?,Yes,B_D,garden plots,planting cycles,harvest yield
63,Will the increase of desk lamps directly cause word recall during reading hours?,No,Will desk lamps cause the increase of reading hours which in turn causes the increase of word recall?,Yes,B_D,desk lamps,reading hours,word recall
64,Will the increase of wifi coverage directly cause coding fluency during online modules?,No,Will wifi coverage cause the increase of online modules which in turn causes the increase of coding fluency?,Yes,B_D,wifi coverage,online modules,coding fluency
65,Will the increase of team entries directly cause baton control during relay races?,No,Will team entries cause the increase of relay races which in turn causes the increase of baton control?,Yes,B_D,team entries,relay races,baton control
66,Will the increase of gallery invites directly cause style refinement during gallery shows?,No,Will gallery invites cause the increase of gallery shows which in turn causes the increase of style refinement?,Yes,B_D,gallery invites,gallery shows,style refinement
67,Will the increase of yoga mats directly cause flexibility gain during stretch routines?,No,Will yoga mats cause the increase of stretch routines which in turn causes the increase of flexibility gain?,Yes,B_D,yoga mats,stretch routines,flexibility gain
68,Will the increase of shift postings directly cause service speed during kitchen shifts?,No,Will shift postings cause the increase of kitchen shifts which in turn causes the increase of service speed?,Yes,B_D,shift postings,kitchen shifts,service speed
69,Will the increase of repair tools directly cause machine uptime during maintenance rounds?,No,Will repair tools cause the increase of maintenance rounds which in turn causes the increase of machine uptime?,Yes,B_D,repair tools,maintenance rounds,machine uptime
70,Will the increase of lecture recordings directly cause test recall during review cycles?,No,Will lecture recordings cause the increase of review cycles which in turn causes the increase of test recall?,Yes,B_D,lecture recordings,review cycles,test recall
71,Will the increase of song catalog directly cause breath control during singing bouts?,No,Will song catalog cause the increase of singing bouts which in turn causes the increase of breath control?,Yes,B_D,song catalog,singing bouts,breath control
72,Will the increase of library hours directly cause plot insight during reading nights?,No,Will library hours cause the increase of reading nights which in turn causes the increase of plot insight?,Yes,B_D,library hours,reading nights,plot insight
73,Will the increase of flight clearance directly cause pilot accuracy during drone flights?,No,Will flight clearance cause the increase of drone flights which in turn causes the increase of pilot accuracy?,Yes,B_D,flight clearance,drone flights,pilot accuracy
74,Will the increase of lab timers directly cause reaction accuracy during timed trials?,No,Will lab timers cause the increase of timed trials which in turn causes the increase of reaction accuracy?,Yes,B_D,lab timers,timed trials,reaction accuracy
75,Will the increase of language credits directly cause accent control during conversation clubs?,No,Will language credits cause the increase of conversation clubs which in turn causes the increase of accent control?,Yes,B_D,language credits,conversation clubs,accent control
76,Will the increase of stage booking directly cause delivery poise during monologue runs?,No,Will stage booking cause the increase of monologue runs which in turn causes the increase of delivery poise?,Yes,B_D,stage booking,monologue runs,delivery poise
77,Will the increase of lab quota directly cause endpoint accuracy during titration rounds?,No,Will lab quota cause the increase of titration rounds which in turn causes the increase of endpoint accuracy?,Yes,B_D,lab quota,titration rounds,endpoint accuracy
78,Will the increase of clinic shuttle directly cause mobility range during therapy visits?,No,Will clinic shuttle cause the increase of therapy visits which in turn causes the increase of mobility range?,Yes,B_D,clinic shuttle,therapy visits,mobility range
79,Will the increase of pool membership directly cause breath capacity during stroke laps?,No,Will pool membership cause the increase of stroke laps which in turn causes the increase of breath capacity?,Yes,B_D,pool membership,stroke laps,breath capacity
80,Will the increase of kiln rental directly cause finish uniformity during glaze firings?,No,Will kiln rental cause the increase of glaze firings which in turn causes the increase of finish uniformity?,Yes,B_D,kiln rental,glaze firings,finish uniformity
81,Will the increase of gallery entry directly cause proportion accuracy during figure drawings?,No,Will gallery entry cause the increase of figure drawings which in turn causes the increase of proportion accuracy?,Yes,B_D,gallery entry,figure drawings,proportion accuracy
82,Will the increase of mentor stipend directly cause draft cohesion during feedback chats?,No,Will mentor stipend cause the increase of feedback chats which in turn causes the increase of draft cohesion?,Yes,B_D,mentor stipend,feedback chats,draft cohesion
83,Will the increase of track pass directly cause stamina gain during interval sprints?,No,Will track pass cause the increase of interval sprints which in turn causes the increase of stamina gain?,Yes,B_D,track pass,interval sprints,stamina gain
84,Will the increase of kitchen reservation directly cause garnish precision during plating trials?,No,Will kitchen reservation cause the increase of plating trials which in turn causes the increase of garnish precision?,Yes,B_D,kitchen reservation,plating trials,garnish precision
85,Will the increase of scanner time directly cause index completeness during archive scans?,No,Will scanner time cause the increase of archive scans which in turn causes the increase of index completeness?,Yes,B_D,scanner time,archive scans,index completeness
86,Will the increase of simulator credits directly cause touchdown precision during landing attempts?,No,Will simulator credits cause the increase of landing attempts which in turn causes the increase of touchdown precision?,Yes,B_D,simulator credits,landing attempts,touchdown precision
87,Will the increase of floor booking directly cause posture steadiness during dance sequences?,No,Will floor booking cause the increase of dance sequences which in turn causes the increase of posture steadiness?,Yes,B_D,floor booking,dance sequences,posture steadiness
88,Will the increase of speaker badge directly cause response sharpness during panel questions?,No,Will speaker badge cause the increase of panel questions which in turn causes the increase of response sharpness?,Yes,B_D,speaker badge,panel questions,response sharpness
89,Will the increase of boat tickets directly cause rudder control during sailing outings?,No,Will boat tickets cause the increase of sailing outings which in turn causes the increase of rudder control?,Yes,B_D,boat tickets,sailing outings,rudder control
90,Will the increase of warehouse keys directly cause stock accuracy during inventory counts?,No,Will warehouse keys cause the increase of inventory counts which in turn causes the increase of stock accuracy?,Yes,B_D,warehouse keys,inventory counts,stock accuracy
91,Will the increase of sampling budget directly cause coverage diversity during collection rounds?,No,Will sampling budget cause the increase of collection rounds which in turn causes the increase of coverage diversity?,Yes,B_D,sampling budget,collection rounds,coverage diversity
92,Will the increase of trade credits directly cause pricing intuition during market trades?,No,Will trade credits cause the increase of market trades which in turn causes the increase of pricing intuition?,Yes,B_D,trade credits,market trades,pricing intuition
93,Will the increase of media passes directly cause question skill during press interviews?,No,Will media passes cause the increase of press interviews which in turn causes the increase of question skill?,Yes,B_D,media passes,press interviews,question skill
94,Will the increase of orchard lease directly cause harvest timing during picking trips?,No,Will orchard lease cause the increase of picking trips which in turn causes the increase of harvest timing?,Yes,B_D,orchard lease,picking trips,harvest timing
95,Will the increase of studio keys directly cause timing cohesion during ensemble jams?,No,Will studio keys cause the increase of ensemble jams which in turn causes the increase of timing cohesion?,Yes,B_D,studio keys,ensemble jams,timing cohesion
96,Will the increase of arena tickets directly cause strategy insight during game watches?,No,Will arena tickets cause the increase of game watches which in turn causes the increase of strategy insight?,Yes,B_D,arena tickets,game watches,strategy insight
97,Will the increase of tour tickets directly cause artifact knowledge during museum walks?,No,Will tour tickets cause the increase of museum walks which in turn causes the increase of artifact knowledge?,Yes,B_D,tour tickets,museum walks,artifact knowledge
98,Will the increase of clinic referral directly cause risk awareness during checkup visits?,No,Will clinic referral cause the increase of checkup visits which in turn causes the increase of risk awareness?,Yes,B_D,clinic referral,checkup visits,risk awareness
99,Will the increase of workshop tickets directly cause bug intuition during coding contests?,No,Will workshop tickets cause the increase of coding contests which in turn causes the increase of bug intuition?,Yes,B_D,workshop tickets,coding contests,bug intuition
100,Will the increase of studio rental directly cause chord accuracy during chord drills?,No,Will studio rental cause the increase of chord drills which in turn causes the increase of chord accuracy?,Yes,B_D,studio rental,chord drills,chord accuracy
101,Will the increase of permit approvals directly cause mapping accuracy during survey walks?,No,Will permit approvals cause the increase of survey walks which in turn causes the increase of mapping accuracy?,Yes,B_D,permit approvals,survey walks,mapping accuracy
102,Will the increase of visa renewals directly cause travel confidence during border crossings?,No,Will visa renewals cause the increase of border crossings which in turn causes the increase of travel confidence?,Yes,B_D,visa renewals,border crossings,travel confidence
103,Will the increase of booth rental directly cause pitch fluency during vendor demos?,No,Will booth rental cause the increase of vendor demos which in turn causes the increase of pitch fluency?,Yes,B_D,booth rental,vendor demos,pitch fluency
104,Will the increase of camp permits directly cause terrain sense during canyon hikes?,No,Will camp permits cause the increase of canyon hikes which in turn causes the increase of terrain sense?,Yes,B_D,camp permits,canyon hikes,terrain sense
105,Will the increase of clinic capacity directly cause mobility range during therapy checkins?,No,Will clinic capacity cause the increase of therapy checkins which in turn causes the increase of mobility range?,Yes,B_D,clinic capacity,therapy checkins,mobility range
106,Will the increase of venue capacity directly cause argument agility during debate matches?,No,Will venue capacity cause the increase of debate matches which in turn causes the increase of argument agility?,Yes,B_D,venue capacity,debate matches,argument agility
107,Will the increase of room keys directly cause blend accuracy during studio runthroughs?,No,Will room keys cause the increase of studio runthroughs which in turn causes the increase of blend accuracy?,Yes,B_D,room keys,studio runthroughs,blend accuracy
108,Will the increase of kiln slots directly cause surface smoothness during clay firings?,No,Will kiln slots cause the increase of clay firings which in turn causes the increase of surface smoothness?,Yes,B_D,kiln slots,clay firings,surface smoothness
109,Will the increase of journal access directly cause concept recall during paper readings?,No,Will journal access cause the increase of paper readings which in turn causes the increase of concept recall?,Yes,B_D,journal access,paper readings,concept recall
110,Will the increase of coach assignments directly cause stride efficiency during tempo runs?,No,Will coach assignments cause the increase of tempo runs which in turn causes the increase of stride efficiency?,Yes,B_D,coach assignments,tempo runs,stride efficiency
111,Will the increase of gallery admission directly cause style awareness during sculpture tours?,No,Will gallery admission cause the increase of sculpture tours which in turn causes the increase of style awareness?,Yes,B_D,gallery admission,sculpture tours,style awareness
112,Will the increase of radio license directly cause voice steadiness during live segments?,No,Will radio license cause the increase of live segments which in turn causes the increase of voice steadiness?,Yes,B_D,radio license,live segments,voice steadiness
113,Will the increase of flight clearance directly cause path control during drone sorties?,No,Will flight clearance cause the increase of drone sorties which in turn causes the increase of path control?,Yes,B_D,flight clearance,drone sorties,path control
114,Will the increase of tool insurance directly cause fix expertise during repair jobs?,No,Will tool insurance cause the increase of repair jobs which in turn causes the increase of fix expertise?,Yes,B_D,tool insurance,repair jobs,fix expertise
115,Will the increase of vendor license directly cause pricing sense during stall shifts?,No,Will vendor license cause the increase of stall shifts which in turn causes the increase of pricing sense?,Yes,B_D,vendor license,stall shifts,pricing sense
116,Will the increase of summit entry directly cause networking ease during poster chats?,No,Will summit entry cause the increase of poster chats which in turn causes the increase of networking ease?,Yes,B_D,summit entry,poster chats,networking ease
117,Will the increase of bus subsidy directly cause arrival punctuality during campus commutes?,No,Will bus subsidy cause the increase of campus commutes which in turn causes the increase of arrival punctuality?,Yes,B_D,bus subsidy,campus commutes,arrival punctuality
118,Will the increase of editor pairing directly cause draft cohesion during critique chats?,No,Will editor pairing cause the increase of critique chats which in turn causes the increase of draft cohesion?,Yes,B_D,editor pairing,critique chats,draft cohesion
119,Will the increase of park hours directly cause composition sense during photo walks?,No,Will park hours cause the increase of photo walks which in turn causes the increase of composition sense?,Yes,B_D,park hours,photo walks,composition sense
120,Will the increase of study enrollment directly cause concept mastery during seminar meetups?,No,Will study enrollment cause the increase of seminar meetups which in turn causes the increase of concept mastery?,Yes,B_D,study enrollment,seminar meetups,concept mastery
121,Will the increase of boathouse entry directly cause stroke strength during rowing days?,No,Will boathouse entry cause the increase of rowing days which in turn causes the increase of stroke strength?,Yes,B_D,boathouse entry,rowing days,stroke strength
122,Will the increase of kitchen lottery directly cause seasoning balance during tasting trials?,No,Will kitchen lottery cause the increase of tasting trials which in turn causes the increase of seasoning balance?,Yes,B_D,kitchen lottery,tasting trials,seasoning balance
123,Will the increase of contest entries directly cause pattern recognition during logic puzzles?,No,Will contest entries cause the increase of logic puzzles which in turn causes the increase of pattern recognition?,Yes,B_D,contest entries,logic puzzles,pattern recognition
124,Will the increase of rink membership directly cause ankle stability during skating loops?,No,Will rink membership cause the increase of skating loops which in turn causes the increase of ankle stability?,Yes,B_D,rink membership,skating loops,ankle stability
125,Will the increase of theater booking directly cause delivery poise during monologue runs?,No,Will theater booking cause the increase of monologue runs which in turn causes the increase of delivery poise?,Yes,B_D,theater booking,monologue runs,delivery poise
126,Will the increase of lab scheduling directly cause measurement confidence during assay batches?,No,Will lab scheduling cause the increase of assay batches which in turn causes the increase of measurement confidence?,Yes,B_D,lab scheduling,assay batches,measurement confidence
127,Will the increase of rehearsal slots directly cause delivery poise during scene rehearsals?,No,Will rehearsal slots cause the increase of scene rehearsals which in turn causes the increase of delivery poise?,Yes,B_D,rehearsal slots,scene rehearsals,delivery poise
128,Will the increase of route assignments directly cause timing consistency during delivery routes?,No,Will route assignments cause the increase of delivery routes which in turn causes the increase of timing consistency?,Yes,B_D,route assignments,delivery routes,timing consistency
129,Will the increase of range tokens directly cause aim steadiness during archery rounds?,No,Will range tokens cause the increase of archery rounds which in turn causes the increase of aim steadiness?,Yes,B_D,range tokens,archery rounds,aim steadiness
130,Will the increase of clinic vans directly cause joint mobility during therapy visits?,No,Will clinic vans cause the increase of therapy visits which in turn causes the increase of joint mobility?,Yes,B_D,clinic vans,therapy visits,joint mobility
131,Will the increase of kitchen hours directly cause station familiarity during prep rotations?,No,Will kitchen hours cause the increase of prep rotations which in turn causes the increase of station familiarity?,Yes,B_D,kitchen hours,prep rotations,station familiarity
132,Will the increase of studio access directly cause tone control during recording takes?,No,Will studio access cause the increase of recording takes which in turn causes the increase of tone control?,Yes,B_D,studio access,recording takes,tone control
133,Will the increase of broadcast slots directly cause strategy insight during game watches?,No,Will broadcast slots cause the increase of game watches which in turn causes the increase of strategy insight?,Yes,B_D,broadcast slots,game watches,strategy insight
134,Will the increase of seminar seats directly cause response sharpness during question turns?,No,Will seminar seats cause the increase of question turns which in turn causes the increase of response sharpness?,Yes,B_D,seminar seats,question turns,response sharpness
135,Will the increase of orchard transport directly cause harvest timing during picking trips?,No,Will orchard transport cause the increase of picking trips which in turn causes the increase of harvest timing?,Yes,B_D,orchard transport,picking trips,harvest timing
136,Will the increase of dock rentals directly cause rudder control during sailing outings?,No,Will dock rentals cause the increase of sailing outings which in turn causes the increase of rudder control?,Yes,B_D,dock rentals,sailing outings,rudder control
137,Will the increase of club membership directly cause story recall during reading circles?,No,Will club membership cause the increase of reading circles which in turn causes the increase of story recall?,Yes,B_D,club membership,reading circles,story recall
138,Will the increase of meeting credits directly cause draft polish during critique rounds?,No,Will meeting credits cause the increase of critique rounds which in turn causes the increase of draft polish?,Yes,B_D,meeting credits,critique rounds,draft polish
139,Will the increase of course seats directly cause debug fluency during coding labs?,No,Will course seats cause the increase of coding labs which in turn causes the increase of debug fluency?,Yes,B_D,course seats,coding labs,debug fluency
140,Will the increase of expo tickets directly cause pitch fluency during vendor demos?,No,Will expo tickets cause the increase of vendor demos which in turn causes the increase of pitch fluency?,Yes,B_D,expo tickets,vendor demos,pitch fluency
141,Will the increase of studio time directly cause balance judgment during mixing sessions?,No,Will studio time cause the increase of mixing sessions which in turn causes the increase of balance judgment?,Yes,B_D,studio time,mixing sessions,balance judgment
142,Will the increase of transport access directly cause species knowledge during field surveys?,No,Will transport access cause the increase of field surveys which in turn causes the increase of species knowledge?,Yes,B_D,transport access,field surveys,species knowledge
143,Will the increase of airspace quota directly cause path control during drone sorties?,No,Will airspace quota cause the increase of drone sorties which in turn causes the increase of path control?,Yes,B_D,airspace quota,drone sorties,path control
144,Will the increase of hall access directly cause posture steadiness during dance rehearsals?,No,Will hall access cause the increase of dance rehearsals which in turn causes the increase of posture steadiness?,Yes,B_D,hall access,dance rehearsals,posture steadiness
145,Will the increase of watering schedule directly cause leaf fullness during watering turns?,No,Will watering schedule cause the increase of watering turns which in turn causes the increase of leaf fullness?,Yes,B_D,watering schedule,watering turns,leaf fullness
146,Will the increase of tutor slots directly cause problem fluency during help meetings?,No,Will tutor slots cause the increase of help meetings which in turn causes the increase of problem fluency?,Yes,B_D,tutor slots,help meetings,problem fluency
147,Will the increase of appointment slots directly cause risk awareness during checkup visits?,No,Will appointment slots cause the increase of checkup visits which in turn causes the increase of risk awareness?,Yes,B_D,appointment slots,checkup visits,risk awareness
148,Will the increase of channel reach directly cause issue insight during support calls?,No,Will channel reach cause the increase of support calls which in turn causes the increase of issue insight?,Yes,B_D,channel reach,support calls,issue insight
149,Will the increase of rehearsal rooms directly cause timing cohesion during ensemble jams?,No,Will rehearsal rooms cause the increase of ensemble jams which in turn causes the increase of timing cohesion?,Yes,B_D,rehearsal rooms,ensemble jams,timing cohesion
150,Will the increase of gallery slots directly cause style awareness during exhibit visits?,No,Will gallery slots cause the increase of exhibit visits which in turn causes the increase of style awareness?,Yes,B_D,gallery slots,exhibit visits,style awareness
151,Will the increase of workbench rental directly cause chisel control during carving hours?,No,Will workbench rental cause the increase of carving hours which in turn causes the increase of chisel control?,Yes,B_D,workbench rental,carving hours,chisel control
152,Will the increase of telescope pass directly cause star knowledge during observatory visits?,No,Will telescope pass cause the increase of observatory visits which in turn causes the increase of star knowledge?,Yes,B_D,telescope pass,observatory visits,star knowledge
