Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
39,Will the increase of permit delay cause materials shortage during project pause?,No,Will the increase of permit delay cause project pause and the increase of materials shortage cause project pause?,Yes,B_D,permit delay,materials shortage,project pause
40,Will the increase of keyboard failure cause screen crack during device replacement?,No,Will the increase of keyboard failure cause device replacement and the increase of screen crack cause device replacement?,Yes,B_D,keyboard failure,screen crack,device replacement
41,Will the increase of cup drop cause plate slip during mess made?,No,Will the increase of cup drop cause mess made and the increase of plate slip cause mess made?,Yes,B_D,cup drop,plate slip,mess made
42,Will the increase of passport loss cause ticket error during checkin delay?,No,Will the increase of passport loss cause checkin delay and the increase of ticket error cause checkin delay?,Yes,B_D,passport loss,ticket error,checkin delay
43,Will the increase of yeast rise cause oven heat during bread bake?,No,Will the increase of yeast rise cause bread bake and the increase of oven heat cause bread bake?,Yes,B_D,yeast rise,oven heat,bread bake
44,Will the increase of generator failure cause transformer fire during power blackout?,No,Will the increase of generator failure cause power blackout and the increase of transformer fire cause power blackout?,Yes,B_D,generator failure,transformer fire,power blackout
45,Will the increase of steel fatigue cause barge impact during bridge closure?,No,Will the increase of steel fatigue cause bridge closure and the increase of barge impact cause bridge closure?,Yes,B_D,steel fatigue,barge impact,bridge closure
46,Will the increase of drum rip cause stick snap during beat stop?,No,Will the increase of drum rip cause beat stop and the increase of stick snap cause beat stop?,Yes,B_D,drum rip,stick snap,beat stop
47,Will the increase of ice shortage cause boiler fault during pool closure?,No,Will the increase of ice shortage cause pool closure and the increase of boiler fault cause pool closure?,Yes,B_D,ice shortage,boiler fault,pool closure
48,Will the increase of instructor illness cause bus strike during exam postponement?,No,Will the increase of instructor illness cause exam postponement and the increase of bus strike cause exam postponement?,Yes,B_D,instructor illness,bus strike,exam postponement
49,Will the increase of paper shortage cause ink spill during print cancellation?,No,Will the increase of paper shortage cause print cancellation and the increase of ink spill cause print cancellation?,Yes,B_D,paper shortage,ink spill,print cancellation
50,Will the increase of gas leak cause bomb threat during venue evacuation?,No,Will the increase of gas leak cause venue evacuation and the increase of bomb threat cause venue evacuation?,Yes,B_D,gas leak,bomb threat,venue evacuation
51,Will the increase of hail fall cause gale blow during roof dent?,No,Will the increase of hail fall cause roof dent and the increase of gale blow cause roof dent?,Yes,B_D,hail fall,gale blow,roof dent
52,Will the increase of wind gust cause oar snap during boat drift?,No,Will the increase of wind gust cause boat drift and the increase of oar snap cause boat drift?,Yes,B_D,wind gust,oar snap,boat drift
53,Will the increase of software rollout cause facility tour during onboarding session?,No,Will the increase of software rollout cause onboarding session and the increase of facility tour cause onboarding session?,Yes,B_D,software rollout,facility tour,onboarding session
54,Will the increase of policy change cause executive visit during staff meeting?,No,Will the increase of policy change cause staff meeting and the increase of executive visit cause staff meeting?,Yes,B_D,policy change,executive visit,staff meeting
55,Will the increase of contract dispute cause safety concern during team briefing?,No,Will the increase of contract dispute cause team briefing and the increase of safety concern cause team briefing?,Yes,B_D,contract dispute,safety concern,team briefing
56,Will the increase of feature request cause hardware constraint during design review?,No,Will the increase of feature request cause design review and the increase of hardware constraint cause design review?,Yes,B_D,feature request,hardware constraint,design review
57,Will the increase of building repair cause holiday change during schedule planning?,No,Will the increase of building repair cause schedule planning and the increase of holiday change cause schedule planning?,Yes,B_D,building repair,holiday change,schedule planning
58,Will the increase of lens crack cause film tear during photo ruin?,No,Will the increase of lens crack cause photo ruin and the increase of film tear cause photo ruin?,Yes,B_D,lens crack,film tear,photo ruin
59,Will the increase of captcha bug cause ssl expiry during login lockout?,No,Will the increase of captcha bug cause login lockout and the increase of ssl expiry cause login lockout?,Yes,B_D,captcha bug,ssl expiry,login lockout
60,Will the increase of microphone failure cause platform update during webinar pause?,No,Will the increase of microphone failure cause webinar pause and the increase of platform update cause webinar pause?,Yes,B_D,microphone failure,platform update,webinar pause
61,Will the increase of vendor visit cause audit request during policy review?,No,Will the increase of vendor visit cause policy review and the increase of audit request cause policy review?,Yes,B_D,vendor visit,audit request,policy review
62,Will the increase of equipment upgrade cause new hire during training session?,No,Will the increase of equipment upgrade cause training session and the increase of new hire cause training session?,Yes,B_D,equipment upgrade,new hire,training session
63,Will the increase of rain drop cause sprinkler spray during lawn flood?,No,Will the increase of rain drop cause lawn flood and the increase of sprinkler spray cause lawn flood?,Yes,B_D,rain drop,sprinkler spray,lawn flood
64,Will the increase of salt add cause lime squeeze during taste odd?,No,Will the increase of salt add cause taste odd and the increase of lime squeeze cause taste odd?,Yes,B_D,salt add,lime squeeze,taste odd
65,Will the increase of cat play cause wind blow during vase drop?,No,Will the increase of cat play cause vase drop and the increase of wind blow cause vase drop?,Yes,B_D,cat play,wind blow,vase drop
66,Will the increase of salt spill cause pepper dump during meal spoil?,No,Will the increase of salt spill cause meal spoil and the increase of pepper dump cause meal spoil?,Yes,B_D,salt spill,pepper dump,meal spoil
67,Will the increase of transformer fault cause heat wave during power blackout?,No,Will the increase of transformer fault cause power blackout and the increase of heat wave cause power blackout?,Yes,B_D,transformer fault,heat wave,power blackout
68,Will the increase of chemical leak cause forest fire during air advisory?,No,Will the increase of chemical leak cause air advisory and the increase of forest fire cause air advisory?,Yes,B_D,chemical leak,forest fire,air advisory
69,Will the increase of security sweep cause fuel spill during gate closure?,No,Will the increase of security sweep cause gate closure and the increase of fuel spill cause gate closure?,Yes,B_D,security sweep,fuel spill,gate closure
70,Will the increase of printer queue cause paper shortage during copy delay?,No,Will the increase of printer queue cause copy delay and the increase of paper shortage cause copy delay?,Yes,B_D,printer queue,paper shortage,copy delay
71,Will the increase of artist illness cause storm warning during show postponement?,No,Will the increase of artist illness cause show postponement and the increase of storm warning cause show postponement?,Yes,B_D,artist illness,storm warning,show postponement
72,Will the increase of gas leak cause spark fly during house fire?,No,Will the increase of gas leak cause house fire and the increase of spark fly cause house fire?,Yes,B_D,gas leak,spark fly,house fire
73,Will the increase of engine trouble cause route blockade during bus delay?,No,Will the increase of engine trouble cause bus delay and the increase of route blockade cause bus delay?,Yes,B_D,engine trouble,route blockade,bus delay
74,Will the increase of ant invasion cause fly swarm during picnic mess?,No,Will the increase of ant invasion cause picnic mess and the increase of fly swarm cause picnic mess?,Yes,B_D,ant invasion,fly swarm,picnic mess
75,Will the increase of payment glitch cause address mismatch during order review?,No,Will the increase of payment glitch cause order review and the increase of address mismatch cause order review?,Yes,B_D,payment glitch,address mismatch,order review
76,Will the increase of database upgrade cause fire drill during schedule change?,No,Will the increase of database upgrade cause schedule change and the increase of fire drill cause schedule change?,Yes,B_D,database upgrade,fire drill,schedule change
77,Will the increase of shipping surge cause dock repair during dock queue?,No,Will the increase of shipping surge cause dock queue and the increase of dock repair cause dock queue?,Yes,B_D,shipping surge,dock repair,dock queue
78,Will the increase of marathon event cause bridge repair during route diversion?,No,Will the increase of marathon event cause route diversion and the increase of bridge repair cause route diversion?,Yes,B_D,marathon event,bridge repair,route diversion
79,Will the increase of charge dispute cause address error during refund delay?,No,Will the increase of charge dispute cause refund delay and the increase of address error cause refund delay?,Yes,B_D,charge dispute,address error,refund delay
80,Will the increase of ink blot cause paper rip during letter ruin?,No,Will the increase of ink blot cause letter ruin and the increase of paper rip cause letter ruin?,Yes,B_D,ink blot,paper rip,letter ruin
81,Will the increase of menu rotation cause cash shortage during lunch slowdown?,No,Will the increase of menu rotation cause lunch slowdown and the increase of cash shortage cause lunch slowdown?,Yes,B_D,menu rotation,cash shortage,lunch slowdown
82,Will the increase of hail storm cause ball hit during glass shatter?,No,Will the increase of hail storm cause glass shatter and the increase of ball hit cause glass shatter?,Yes,B_D,hail storm,ball hit,glass shatter
83,Will the increase of library event cause power test during room conflict?,No,Will the increase of library event cause room conflict and the increase of power test cause room conflict?,Yes,B_D,library event,power test,room conflict
84,Will the increase of flu virus cause leg break during work miss?,No,Will the increase of flu virus cause work miss and the increase of leg break cause work miss?,Yes,B_D,flu virus,leg break,work miss
85,Will the increase of elevator service cause fire inspection during stair crowd?,No,Will the increase of elevator service cause stair crowd and the increase of fire inspection cause stair crowd?,Yes,B_D,elevator service,fire inspection,stair crowd
86,Will the increase of disk rot cause port dust during load fail?,No,Will the increase of disk rot cause load fail and the increase of port dust cause load fail?,Yes,B_D,disk rot,port dust,load fail
87,Will the increase of sun shine cause heater on during room heat?,No,Will the increase of sun shine cause room heat and the increase of heater on cause room heat?,Yes,B_D,sun shine,heater on,room heat
88,Will the increase of chef flu cause stove bust during food late?,No,Will the increase of chef flu cause food late and the increase of stove bust cause food late?,Yes,B_D,chef flu,stove bust,food late
89,Will the increase of pipe burst cause drought warning during water restriction?,No,Will the increase of pipe burst cause water restriction and the increase of drought warning cause water restriction?,Yes,B_D,pipe burst,drought warning,water restriction
90,Will the increase of tooth ache cause ear infection during sleep loss?,No,Will the increase of tooth ache cause sleep loss and the increase of ear infection cause sleep loss?,Yes,B_D,tooth ache,ear infection,sleep loss
91,Will the increase of tripod slip cause audio distortion during recording restart?,No,Will the increase of tripod slip cause recording restart and the increase of audio distortion cause recording restart?,Yes,B_D,tripod slip,audio distortion,recording restart
92,Will the increase of bee sting cause sun burn during beach pain?,No,Will the increase of bee sting cause beach pain and the increase of sun burn cause beach pain?,Yes,B_D,bee sting,sun burn,beach pain
93,Will the increase of garage closure cause shuttle strike during commute delay?,No,Will the increase of garage closure cause commute delay and the increase of shuttle strike cause commute delay?,Yes,B_D,garage closure,shuttle strike,commute delay
94,Will the increase of time change cause calendar error during meeting confusion?,No,Will the increase of time change cause meeting confusion and the increase of calendar error cause meeting confusion?,Yes,B_D,time change,calendar error,meeting confusion
95,Will the increase of label misprint cause keypad fault during checkout delay?,No,Will the increase of label misprint cause checkout delay and the increase of keypad fault cause checkout delay?,Yes,B_D,label misprint,keypad fault,checkout delay
96,Will the increase of mouse eat cause mold grow during cheese bad?,No,Will the increase of mouse eat cause cheese bad and the increase of mold grow cause cheese bad?,Yes,B_D,mouse eat,mold grow,cheese bad
97,Will the increase of network test cause patch rollout during system pause?,No,Will the increase of network test cause system pause and the increase of patch rollout cause system pause?,Yes,B_D,network test,patch rollout,system pause
98,Will the increase of weather advisory cause crew shortage during takeoff wait?,No,Will the increase of weather advisory cause takeoff wait and the increase of crew shortage cause takeoff wait?,Yes,B_D,weather advisory,crew shortage,takeoff wait
99,Will the increase of routing bug cause switch failure during call outage?,No,Will the increase of routing bug cause call outage and the increase of switch failure cause call outage?,Yes,B_D,routing bug,switch failure,call outage
100,Will the increase of promo campaign cause password reset during login queue?,No,Will the increase of promo campaign cause login queue and the increase of password reset cause login queue?,Yes,B_D,promo campaign,password reset,login queue
101,Will the increase of permit backlog cause generator failure during site shutdown?,No,Will the increase of permit backlog cause site shutdown and the increase of generator failure cause site shutdown?,Yes,B_D,permit backlog,generator failure,site shutdown
102,Will the increase of fox run cause rabbit hop during grass move?,No,Will the increase of fox run cause grass move and the increase of rabbit hop cause grass move?,Yes,B_D,fox run,rabbit hop,grass move
103,Will the increase of gas leak cause sprinkler test during hall evacuation?,No,Will the increase of gas leak cause hall evacuation and the increase of sprinkler test cause hall evacuation?,Yes,B_D,gas leak,sprinkler test,hall evacuation
104,Will the increase of loud noise cause bright light during baby wake?,No,Will the increase of loud noise cause baby wake and the increase of bright light cause baby wake?,Yes,B_D,loud noise,bright light,baby wake
105,Will the increase of snow squall cause track repair during train delay?,No,Will the increase of snow squall cause train delay and the increase of track repair cause train delay?,Yes,B_D,snow squall,track repair,train delay
106,Will the increase of speaker illness cause projector failure during talk reschedule?,No,Will the increase of speaker illness cause talk reschedule and the increase of projector failure cause talk reschedule?,Yes,B_D,speaker illness,projector failure,talk reschedule
107,Will the increase of frost bite cause skin cut during hand hurt?,No,Will the increase of frost bite cause hand hurt and the increase of skin cut cause hand hurt?,Yes,B_D,frost bite,skin cut,hand hurt
108,Will the increase of road accident cause bridge lift during traffic jam?,No,Will the increase of road accident cause traffic jam and the increase of bridge lift cause traffic jam?,Yes,B_D,road accident,bridge lift,traffic jam
109,Will the increase of parcel surge cause scanner jam during sorting delay?,No,Will the increase of parcel surge cause sorting delay and the increase of scanner jam cause sorting delay?,Yes,B_D,parcel surge,scanner jam,sorting delay
110,Will the increase of depth perception cause color contrast during visual clarity?,No,Will the increase of depth perception cause visual clarity and the increase of color contrast cause visual clarity?,Yes,B_D,depth perception,color contrast,visual clarity
111,Will the increase of permit revision cause speaker crackle during safety meeting?,No,Will the increase of permit revision cause safety meeting and the increase of speaker crackle cause safety meeting?,Yes,B_D,permit revision,speaker crackle,safety meeting
112,Will the increase of stage damage cause weather warning during event delay?,No,Will the increase of stage damage cause event delay and the increase of weather warning cause event delay?,Yes,B_D,stage damage,weather warning,event delay
113,Will the increase of port congestion cause document error during cargo hold?,No,Will the increase of port congestion cause cargo hold and the increase of document error cause cargo hold?,Yes,B_D,port congestion,document error,cargo hold
114,Will the increase of bear sight cause snake hiss during hike fear?,No,Will the increase of bear sight cause hike fear and the increase of snake hiss cause hike fear?,Yes,B_D,bear sight,snake hiss,hike fear
115,Will the increase of ball hit cause stone throw during glass crack?,No,Will the increase of ball hit cause glass crack and the increase of stone throw cause glass crack?,Yes,B_D,ball hit,stone throw,glass crack
116,Will the increase of runway repair cause crew shortage during flight delay?,No,Will the increase of runway repair cause flight delay and the increase of crew shortage cause flight delay?,Yes,B_D,runway repair,crew shortage,flight delay
117,Will the increase of drum bang cause guitar twang during loud music?,No,Will the increase of drum bang cause loud music and the increase of guitar twang cause loud music?,Yes,B_D,drum bang,guitar twang,loud music
118,Will the increase of printer jam cause paper shortage during copy backlog?,No,Will the increase of printer jam cause copy backlog and the increase of paper shortage cause copy backlog?,Yes,B_D,printer jam,paper shortage,copy backlog
119,Will the increase of main break cause valve failure during water cutoff?,No,Will the increase of main break cause water cutoff and the increase of valve failure cause water cutoff?,Yes,B_D,main break,valve failure,water cutoff
120,Will the increase of construction noise cause fire drill during class interruption?,No,Will the increase of construction noise cause class interruption and the increase of fire drill cause class interruption?,Yes,B_D,construction noise,fire drill,class interruption
121,Will the increase of bus strike cause signal failure during service disruption?,No,Will the increase of bus strike cause service disruption and the increase of signal failure cause service disruption?,Yes,B_D,bus strike,signal failure,service disruption
122,Will the increase of equipment recall cause safety complaint during policy review?,No,Will the increase of equipment recall cause policy review and the increase of safety complaint cause policy review?,Yes,B_D,equipment recall,safety complaint,policy review
123,Will the increase of lime juice cause hot pepper during tongue sting?,No,Will the increase of lime juice cause tongue sting and the increase of hot pepper cause tongue sting?,Yes,B_D,lime juice,hot pepper,tongue sting
124,Will the increase of festival parade cause lane repaint during street closure?,No,Will the increase of festival parade cause street closure and the increase of lane repaint cause street closure?,Yes,B_D,festival parade,lane repaint,street closure
125,Will the increase of office renovation cause budget cut during shift change?,No,Will the increase of office renovation cause shift change and the increase of budget cut cause shift change?,Yes,B_D,office renovation,budget cut,shift change
126,Will the increase of ink spill cause coffee drop during shirt stain?,No,Will the increase of ink spill cause shirt stain and the increase of coffee drop cause shirt stain?,Yes,B_D,ink spill,coffee drop,shirt stain
127,Will the increase of budget anomaly cause ethics complaint during board hearing?,No,Will the increase of budget anomaly cause board hearing and the increase of ethics complaint cause board hearing?,Yes,B_D,budget anomaly,ethics complaint,board hearing
128,Will the increase of antenna damage cause satellite drift during signal dropout?,No,Will the increase of antenna damage cause signal dropout and the increase of satellite drift cause signal dropout?,Yes,B_D,antenna damage,satellite drift,signal dropout
129,Will the increase of trade embargo cause pipeline rupture during fuel rationing?,No,Will the increase of trade embargo cause fuel rationing and the increase of pipeline rupture cause fuel rationing?,Yes,B_D,trade embargo,pipeline rupture,fuel rationing
130,Will the increase of red paint cause blue ink during art mess?,No,Will the increase of red paint cause art mess and the increase of blue ink cause art mess?,Yes,B_D,red paint,blue ink,art mess
131,Will the increase of visa backlog cause gale warning during trip reschedule?,No,Will the increase of visa backlog cause trip reschedule and the increase of gale warning cause trip reschedule?,Yes,B_D,visa backlog,gale warning,trip reschedule
132,Will the increase of cable fray cause tower upgrade during call drops?,No,Will the increase of cable fray cause call drops and the increase of tower upgrade cause call drops?,Yes,B_D,cable fray,tower upgrade,call drops
133,Will the increase of wage dispute cause parts recall during plant slowdown?,No,Will the increase of wage dispute cause plant slowdown and the increase of parts recall cause plant slowdown?,Yes,B_D,wage dispute,parts recall,plant slowdown
134,Will the increase of headline rumor cause rate hike during market dip?,No,Will the increase of headline rumor cause market dip and the increase of rate hike cause market dip?,Yes,B_D,headline rumor,rate hike,market dip
135,Will the increase of toner spill cause file corruption during report delay?,No,Will the increase of toner spill cause report delay and the increase of file corruption cause report delay?,Yes,B_D,toner spill,file corruption,report delay
136,Will the increase of soap slip cause mat slide during bath fall?,No,Will the increase of soap slip cause bath fall and the increase of mat slide cause bath fall?,Yes,B_D,soap slip,mat slide,bath fall
137,Will the increase of water main cause hydrant burst during street flooding?,No,Will the increase of water main cause street flooding and the increase of hydrant burst cause street flooding?,Yes,B_D,water main,hydrant burst,street flooding
138,Will the increase of lab spill cause audit visit during hazard huddle?,No,Will the increase of lab spill cause hazard huddle and the increase of audit visit cause hazard huddle?,Yes,B_D,lab spill,audit visit,hazard huddle
139,Will the increase of server patch cause storage crash during login errors?,No,Will the increase of server patch cause login errors and the increase of storage crash cause login errors?,Yes,B_D,server patch,storage crash,login errors
140,Will the increase of barcode error cause sorting backlog during parcel misroute?,No,Will the increase of barcode error cause parcel misroute and the increase of sorting backlog cause parcel misroute?,Yes,B_D,barcode error,sorting backlog,parcel misroute
141,Will the increase of ticket overflow cause seat change during gate congestion?,No,Will the increase of ticket overflow cause gate congestion and the increase of seat change cause gate congestion?,Yes,B_D,ticket overflow,seat change,gate congestion
142,Will the increase of tour group cause floor repair during aisle crowding?,No,Will the increase of tour group cause aisle crowding and the increase of floor repair cause aisle crowding?,Yes,B_D,tour group,floor repair,aisle crowding
143,Will the increase of fog advisory cause deicing delay during departure hold?,No,Will the increase of fog advisory cause departure hold and the increase of deicing delay cause departure hold?,Yes,B_D,fog advisory,deicing delay,departure hold
144,Will the increase of zoning appeal cause insurance dispute during site freeze?,No,Will the increase of zoning appeal cause site freeze and the increase of insurance dispute cause site freeze?,Yes,B_D,zoning appeal,insurance dispute,site freeze
145,Will the increase of software defect cause vendor merger during service notice?,No,Will the increase of software defect cause service notice and the increase of vendor merger cause service notice?,Yes,B_D,software defect,vendor merger,service notice
146,Will the increase of heater failure cause window crack during class relocation?,No,Will the increase of heater failure cause class relocation and the increase of window crack cause class relocation?,Yes,B_D,heater failure,window crack,class relocation
147,Will the increase of catering delay cause stage setup during show shuffle?,No,Will the increase of catering delay cause show shuffle and the increase of stage setup cause show shuffle?,Yes,B_D,catering delay,stage setup,show shuffle
148,Will the increase of union walkout cause fleet recall during schedule shift?,No,Will the increase of union walkout cause schedule shift and the increase of fleet recall cause schedule shift?,Yes,B_D,union walkout,fleet recall,schedule shift
149,Will the increase of coin shortage cause scanner upgrade during register slowdown?,No,Will the increase of coin shortage cause register slowdown and the increase of scanner upgrade cause register slowdown?,Yes,B_D,coin shortage,scanner upgrade,register slowdown
150,Will the increase of circuit trip cause motor heat during pump shutdown?,No,Will the increase of circuit trip cause pump shutdown and the increase of motor heat cause pump shutdown?,Yes,B_D,circuit trip,motor heat,pump shutdown
151,Will the increase of scope change cause support roster during strategy session?,No,Will the increase of scope change cause strategy session and the increase of support roster cause strategy session?,Yes,B_D,scope change,support roster,strategy session
152,Will the increase of staff transfer cause topic queue during vendor meeting?,No,Will the increase of staff transfer cause vendor meeting and the increase of topic queue cause vendor meeting?,Yes,B_D,staff transfer,topic queue,vendor meeting
153,Will the increase of venue revision cause training notes during project briefing?,No,Will the increase of venue revision cause project briefing and the increase of training notes cause project briefing?,Yes,B_D,venue revision,training notes,project briefing
154,Will the increase of policy draft cause task assignment during policy forum?,No,Will the increase of policy draft cause policy forum and the increase of task assignment cause policy forum?,Yes,B_D,policy draft,task assignment,policy forum
155,Will the increase of budget amendment cause handoff notes during audit session?,No,Will the increase of budget amendment cause audit session and the increase of handoff notes cause audit session?,Yes,B_D,budget amendment,handoff notes,audit session
156,Will the increase of humidity level cause pollen count during allergy reaction?,No,Will the increase of humidity level cause allergy reaction and the increase of pollen count cause allergy reaction?,Yes,B_D,humidity level,pollen count,allergy reaction
157,Will the increase of deadline shift cause room booking during schedule forum?,No,Will the increase of deadline shift cause schedule forum and the increase of room booking cause schedule forum?,Yes,B_D,deadline shift,room booking,schedule forum
158,Will the increase of tire wear cause glass cut during flat tire?,No,Will the increase of tire wear cause flat tire and the increase of glass cut cause flat tire?,Yes,B_D,tire wear,glass cut,flat tire
159,Will the increase of nut loose cause tire bald during drive risk?,No,Will the increase of nut loose cause drive risk and the increase of tire bald cause drive risk?,Yes,B_D,nut loose,tire bald,drive risk
160,Will the increase of meeting request cause summary report during status meeting?,No,Will the increase of meeting request cause status meeting and the increase of summary report cause status meeting?,Yes,B_D,meeting request,summary report,status meeting
