Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
19,Will the increase of public transit rides cause polling station parking shortages during local election day?,No,Will local election day cause the increase of public transit rides and polling station parking shortages?,Yes,B_D,public transit rides,polling station parking shortages,local election day
20,Will the increase of e-sport chair sales cause power strip failures during online gaming marathon?,No,Will online gaming marathon cause the increase of e-sport chair sales and power strip failures?,Yes,B_D,e-sport chair sales,power strip failures,online gaming marathon
21,Will the increase of space heater purchases cause frozen pipe incidents during cold snap?,No,Will cold snap cause the increase of space heater purchases and frozen pipe incidents?,Yes,B_D,space heater purchases,frozen pipe incidents,cold snap
22,Will the increase of surfboard sales cause injury clinic visits during coastal surf festival?,No,Will coastal surf festival cause the increase of surfboard sales and injury clinic visits?,Yes,B_D,surfboard sales,injury clinic visits,coastal surf festival
23,Will the increase of fog light purchases cause fender-bender accidents during heavy fog mornings?,No,Will heavy fog mornings cause the increase of fog light purchases and fender-bender accidents?,Yes,B_D,fog light purchases,fender-bender accidents,heavy fog mornings
24,Will the increase of eco-bag sales cause scanning delays during plastic-free month?,No,Will plastic-free month cause the increase of eco-bag sales and scanning delays?,Yes,B_D,eco-bag sales,scanning delays,plastic-free month
25,Will the increase of gasoline purchases cause emergency shelter check-ins during hurricane evacuation advisory?,No,Will hurricane evacuation advisory cause the increase of gasoline purchases and emergency shelter check-ins?,Yes,B_D,gasoline purchases,emergency shelter check-ins,hurricane evacuation advisory
26,Will the increase of VR headset rentals cause dizziness reports during virtual reality showcase?,No,Will virtual reality showcase cause the increase of VR headset rentals and dizziness reports?,Yes,B_D,VR headset rentals,dizziness reports,virtual reality showcase
27,Will the increase of air purifier sales cause respiratory clinic visits during air quality alerts?,No,Will air quality alerts cause the increase of air purifier sales and respiratory clinic visits?,Yes,B_D,air purifier sales,respiratory clinic visits,air quality alerts
28,Will the increase of ice cream truck visits cause traffic control posts during children carnival?,No,Will children carnival cause the increase of ice cream truck visits and traffic control posts?,Yes,B_D,ice cream truck visits,traffic control posts,children carnival
29,Will the increase of rain barrel sales cause lawn watering fines during drought restrictions?,No,Will drought restrictions cause the increase of rain barrel sales and lawn watering fines?,Yes,B_D,rain barrel sales,lawn watering fines,drought restrictions
30,Will the increase of diving mask sales cause coral damage reports during reef diving festival?,No,Will reef diving festival cause the increase of diving mask sales and coral damage reports?,Yes,B_D,diving mask sales,coral damage reports,reef diving festival
31,Will the increase of compost bin purchases cause overflowing trash complaints during garbage collection delays?,No,Will garbage collection delays cause the increase of compost bin purchases and overflowing trash complaints?,Yes,B_D,compost bin purchases,overflowing trash complaints,garbage collection delays
32,Will the increase of camping stove rentals cause gas leak alerts during outdoor cooking event?,No,Will outdoor cooking event cause the increase of camping stove rentals and gas leak alerts?,Yes,B_D,camping stove rentals,gas leak alerts,outdoor cooking event
33,Will the increase of team merchandise sales cause stadium traffic backups during school sports championship?,No,Will school sports championship cause the increase of team merchandise sales and stadium traffic backups?,Yes,B_D,team merchandise sales,stadium traffic backups,school sports championship
34,Will the increase of childrens toy sales cause missing child announcements during family expo?,No,Will family expo cause the increase of childrens toy sales and missing child announcements?,Yes,B_D,childrens toy sales,missing child announcements,family expo
35,Will the increase of garden soil sales cause nursery checkout lines during spring planting season?,No,Will spring planting season cause the increase of garden soil sales and nursery checkout lines?,Yes,B_D,garden soil sales,nursery checkout lines,spring planting season
36,Will the increase of boat rental requests cause rescue siren calls during summer regatta?,No,Will summer regatta cause the increase of boat rental requests and rescue siren calls?,Yes,B_D,boat rental requests,rescue siren calls,summer regatta
37,Will the increase of local craft market sales cause package delivery delays during shipping strike?,No,Will shipping strike cause the increase of local craft market sales and package delivery delays?,Yes,B_D,local craft market sales,package delivery delays,shipping strike
38,Will the increase of photography tripod purchases cause luggage delays during travel photography expo?,No,Will travel photography expo cause the increase of photography tripod purchases and luggage delays?,Yes,B_D,photography tripod purchases,luggage delays,travel photography expo
39,Will the increase of generic brand purchases cause product stockouts during supply chain disruptions?,No,Will supply chain disruptions cause the increase of generic brand purchases and product stockouts?,Yes,B_D,generic brand purchases,product stockouts,supply chain disruptions
40,Will the increase of smoothie bar sales cause refrigeration failures during health food convention?,No,Will health food convention cause the increase of smoothie bar sales and refrigeration failures?,Yes,B_D,smoothie bar sales,refrigeration failures,health food convention
41,Will the increase of fresh produce sales cause street vendor permit checks during farmers market opening?,No,Will farmers market opening cause the increase of fresh produce sales and street vendor permit checks?,Yes,B_D,fresh produce sales,street vendor permit checks,farmers market opening
42,Will the increase of hiking tent sales cause flood warnings during mountain trek festival?,No,Will mountain trek festival cause the increase of hiking tent sales and flood warnings?,Yes,B_D,hiking tent sales,flood warnings,mountain trek festival
43,Will the increase of printer paper purchases cause late-night lab usage during college application deadline?,No,Will college application deadline cause the increase of printer paper purchases and late-night lab usage?,Yes,B_D,printer paper purchases,late-night lab usage,college application deadline
44,Will the increase of children costume sales cause safety code violations during costume parade?,No,Will costume parade cause the increase of children costume sales and safety code violations?,Yes,B_D,children costume sales,safety code violations,costume parade
45,Will the increase of LED bulb purchases cause energy bill inquiries during electricity rate hike month?,No,Will electricity rate hike month cause the increase of LED bulb purchases and energy bill inquiries?,Yes,B_D,LED bulb purchases,energy bill inquiries,electricity rate hike month
46,Will the increase of meditation cushion sales cause stairwell crowding during mindfulness retreat?,No,Will mindfulness retreat cause the increase of meditation cushion sales and stairwell crowding?,Yes,B_D,meditation cushion sales,stairwell crowding,mindfulness retreat
47,Will the increase of nasal spray sales cause sick note requests during peak allergy index week?,No,Will peak allergy index week cause the increase of nasal spray sales and sick note requests?,Yes,B_D,nasal spray sales,sick note requests,peak allergy index week
48,Will the increase of rollerblade rentals cause first aid reports during inline skating event?,No,Will inline skating event cause the increase of rollerblade rentals and first aid reports?,Yes,B_D,rollerblade rentals,first aid reports,inline skating event
49,Will the increase of bike rentals cause car lane congestion during citywide bike-to-work day?,No,Will citywide bike-to-work day cause the increase of bike rentals and car lane congestion?,Yes,B_D,bike rentals,car lane congestion,citywide bike-to-work day
50,Will the increase of ice maker sales cause water line breaks during kitchen appliance expo?,No,Will kitchen appliance expo cause the increase of ice maker sales and water line breaks?,Yes,B_D,ice maker sales,water line breaks,kitchen appliance expo
51,Will the increase of sunscreen purchases cause ferry delays during coastal holiday?,No,Will coastal holiday cause the increase of sunscreen purchases and ferry delays?,Yes,B_D,sunscreen purchases,ferry delays,coastal holiday
52,Will the increase of electric violin sales cause sound check delays during folk fusion festival?,No,Will folk fusion festival cause the increase of electric violin sales and sound check delays?,Yes,B_D,electric violin sales,sound check delays,folk fusion festival
53,Will the increase of raincoat sales cause bus stop flooding reports during tropical storm watch?,No,Will tropical storm watch cause the increase of raincoat sales and bus stop flooding reports?,Yes,B_D,raincoat sales,bus stop flooding reports,tropical storm watch
54,Will the increase of virtual museum ticket sales cause streaming buffer issues during digital heritage month?,No,Will digital heritage month cause the increase of virtual museum ticket sales and streaming buffer issues?,Yes,B_D,virtual museum ticket sales,streaming buffer issues,digital heritage month
55,Will the increase of hiking boot sales cause rescue calls during mountain trail reopening?,No,Will mountain trail reopening cause the increase of hiking boot sales and rescue calls?,Yes,B_D,hiking boot sales,rescue calls,mountain trail reopening
56,Will the increase of snorkeling gear sales cause coral protection warnings during marine awareness?,No,Will marine awareness cause the increase of snorkeling gear sales and coral protection warnings?,Yes,B_D,snorkeling gear sales,coral protection warnings,marine awareness
57,Will the increase of gym signups cause office absenteeism during new year resolution season?,No,Will new year resolution season cause the increase of gym signups and office absenteeism?,Yes,B_D,gym signups,office absenteeism,new year resolution season
58,Will the increase of fresh juice stall sales cause refrigeration shortages during tropical fruit carnival?,No,Will tropical fruit carnival cause the increase of fresh juice stall sales and refrigeration shortages?,Yes,B_D,fresh juice stall sales,refrigeration shortages,tropical fruit carnival
59,Will the increase of drone purchases cause wildlife disturbance reports during outdoor photography contest?,No,Will outdoor photography contest cause the increase of drone purchases and wildlife disturbance reports?,Yes,B_D,drone purchases,wildlife disturbance reports,outdoor photography contest
60,Will the increase of roller derby ticket sales cause first responder callouts during sports derby?,No,Will sports derby cause the increase of roller derby ticket sales and first responder callouts?,Yes,B_D,roller derby ticket sales,first responder callouts,sports derby
61,Will the increase of flower bouquet sales cause traffic police deployments during valentine?,No,Will valentine cause the increase of flower bouquet sales and traffic police deployments?,Yes,B_D,flower bouquet sales,traffic police deployments,valentine
62,Will the increase of digital sketchpad sales cause power cord shortages during animation expo?,No,Will animation expo cause the increase of digital sketchpad sales and power cord shortages?,Yes,B_D,digital sketchpad sales,power cord shortages,animation expo
63,Will the increase of cooking oil sales cause fire department warnings during festive cooking?,No,Will festive cooking cause the increase of cooking oil sales and fire department warnings?,Yes,B_D,cooking oil sales,fire department warnings,festive cooking
64,Will the increase of rooftop bar entries cause traffic checkpoint delays during city nightlife?,No,Will city nightlife cause the increase of rooftop bar entries and traffic checkpoint delays?,Yes,B_D,rooftop bar entries,traffic checkpoint delays,city nightlife
65,Will the increase of candy sales cause dentist appointments during halloween?,No,Will halloween cause the increase of candy sales and dentist appointments?,Yes,B_D,candy sales,dentist appointments,halloween
66,Will the increase of gourmet cheese purchases cause customs inspection delays during international food expo?,No,Will international food expo cause the increase of gourmet cheese purchases and customs inspection delays?,Yes,B_D,gourmet cheese purchases,customs inspection delays,international food expo
67,Will the increase of turkey purchases cause oven repair calls during thanksgiving dinner week?,No,Will thanksgiving dinner week cause the increase of turkey purchases and oven repair calls?,Yes,B_D,turkey purchases,oven repair calls,thanksgiving dinner week
68,Will the increase of archery set sales cause range safety warnings during archery showcase?,No,Will archery showcase cause the increase of archery set sales and range safety warnings?,Yes,B_D,archery set sales,range safety warnings,archery showcase
69,Will the increase of fruit basket sales cause delivery truck breakdowns during lunar new year?,No,Will lunar new year cause the increase of fruit basket sales and delivery truck breakdowns?,Yes,B_D,fruit basket sales,delivery truck breakdowns,lunar new year
70,Will the increase of kite purchases cause rope entanglement reports during summer kite rally?,No,Will summer kite rally cause the increase of kite purchases and rope entanglement reports?,Yes,B_D,kite purchases,rope entanglement reports,summer kite rally
71,Will the increase of school uniform sales cause long cashier lines during school reopening month?,No,Will school reopening month cause the increase of school uniform sales and long cashier lines?,Yes,B_D,school uniform sales,long cashier lines,school reopening month
72,Will the increase of car simulator rentals cause electrical fuse replacements during auto innovation week?,No,Will auto innovation week cause the increase of car simulator rentals and electrical fuse replacements?,Yes,B_D,car simulator rentals,electrical fuse replacements,auto innovation week
73,Will the increase of surfboard rentals cause ambulance calls during beach surfing competition?,No,Will beach surfing competition cause the increase of surfboard rentals and ambulance calls?,Yes,B_D,surfboard rentals,ambulance calls,beach surfing competition
74,Will the increase of virtual classroom logins cause password reset spikes during remote education summit?,No,Will remote education summit cause the increase of virtual classroom logins and password reset spikes?,Yes,B_D,virtual classroom logins,password reset spikes,remote education summit
75,Will the increase of hiking backpack sales cause bus rescheduling during mountain music festival?,No,Will mountain music festival cause the increase of hiking backpack sales and bus rescheduling?,Yes,B_D,hiking backpack sales,bus rescheduling,mountain music festival
76,Will the increase of street food cart sales cause waste disposal warnings during open street weekend?,No,Will open street weekend cause the increase of street food cart sales and waste disposal warnings?,Yes,B_D,street food cart sales,waste disposal warnings,open street weekend
77,Will the increase of book fair sales cause lost child reports during international book fair?,No,Will international book fair cause the increase of book fair sales and lost child reports?,Yes,B_D,book fair sales,lost child reports,international book fair
78,Will the increase of fairground ride tickets cause sound permit extensions during spring fair?,No,Will spring fair cause the increase of fairground ride tickets and sound permit extensions?,Yes,B_D,fairground ride tickets,sound permit extensions,spring fair
79,Will the increase of photography equipment sales cause museum theft alerts during photo exhibition?,No,Will photo exhibition cause the increase of photography equipment sales and museum theft alerts?,Yes,B_D,photography equipment sales,museum theft alerts,photo exhibition
80,Will the increase of climbing harness sales cause rope inspection delays during adventure sports festival?,No,Will adventure sports festival cause the increase of climbing harness sales and rope inspection delays?,Yes,B_D,climbing harness sales,rope inspection delays,adventure sports festival
81,Will the increase of marathon shoe sales cause dehydration aid calls during city marathon?,No,Will city marathon cause the increase of marathon shoe sales and dehydration aid calls?,Yes,B_D,marathon shoe sales,dehydration aid calls,city marathon
82,Will the increase of vinyl record sales cause storage unit shortages during retro music?,No,Will retro music cause the increase of vinyl record sales and storage unit shortages?,Yes,B_D,vinyl record sales,storage unit shortages,retro music
83,Will the increase of ski lodge reservations cause avalanche warnings during alpine festival?,No,Will alpine festival cause the increase of ski lodge reservations and avalanche warnings?,Yes,B_D,ski lodge reservations,avalanche warnings,alpine festival
84,Will the increase of urban farm box sales cause elevator overuse complaints during rooftop farming month?,No,Will rooftop farming month cause the increase of urban farm box sales and elevator overuse complaints?,Yes,B_D,urban farm box sales,elevator overuse complaints,rooftop farming month
85,Will the increase of tomato seed sales cause irrigation complaints during spring gardening week?,No,Will spring gardening week cause the increase of tomato seed sales and irrigation complaints?,Yes,B_D,tomato seed sales,irrigation complaints,spring gardening week
86,Will the increase of historical tour bookings cause bus lane reroutes during heritage celebration?,No,Will heritage celebration cause the increase of historical tour bookings and bus lane reroutes?,Yes,B_D,historical tour bookings,bus lane reroutes,heritage celebration
87,Will the increase of ski goggle sales cause lift line delays during winter sports?,No,Will winter sports cause the increase of ski goggle sales and lift line delays?,Yes,B_D,ski goggle sales,lift line delays,winter sports
88,Will the increase of online recipe downloads cause grocery restock delays during culinary culture week?,No,Will culinary culture week cause the increase of online recipe downloads and grocery restock delays?,Yes,B_D,online recipe downloads,grocery restock delays,culinary culture week
89,Will the increase of pumpkin sales cause police patrol shifts during harvest fair?,No,Will harvest fair cause the increase of pumpkin sales and police patrol shifts?,Yes,B_D,pumpkin sales,police patrol shifts,harvest fair
90,Will the increase of livestream ticket sales cause web server overloads during charity concert?,No,Will charity concert cause the increase of livestream ticket sales and web server overloads?,Yes,B_D,livestream ticket sales,web server overloads,charity concert
91,Will the increase of school notebook sales cause public transit congestion during exam registration?,No,Will exam registration cause the increase of school notebook sales and public transit congestion?,Yes,B_D,school notebook sales,public transit congestion,exam registration
92,Will the increase of ice rink entry sales cause heating system strain during winter sports gala?,No,Will winter sports gala cause the increase of ice rink entry sales and heating system strain?,Yes,B_D,ice rink entry sales,heating system strain,winter sports gala
93,Will the increase of jewelry sales cause security guard hires during wedding expo?,No,Will wedding expo cause the increase of jewelry sales and security guard hires?,Yes,B_D,jewelry sales,security guard hires,wedding expo
94,Will the increase of fishing bait sales cause riverbank congestion during anglers showcase day?,No,Will anglers showcase day cause the increase of fishing bait sales and riverbank congestion?,Yes,B_D,fishing bait sales,riverbank congestion,anglers showcase day
95,Will the increase of pet costume sales cause parking lot shortages during pet parade?,No,Will pet parade cause the increase of pet costume sales and parking lot shortages?,Yes,B_D,pet costume sales,parking lot shortages,pet parade
96,Will the increase of indoor plant sales cause humidity control problems during green home month?,No,Will green home month cause the increase of indoor plant sales and humidity control problems?,Yes,B_D,indoor plant sales,humidity control problems,green home month
97,Will the increase of souvenir sales cause luggage overweight fines during regional fair?,No,Will regional fair cause the increase of souvenir sales and luggage overweight fines?,Yes,B_D,souvenir sales,luggage overweight fines,regional fair
98,Will the increase of self-driving car demo rides cause GPS recalibration reports during auto tech?,No,Will auto tech cause the increase of self-driving car demo rides and GPS recalibration reports?,Yes,B_D,self-driving car demo rides,GPS recalibration reports,auto tech
99,Will the increase of wool coat purchases cause heating system failures during icy wind?,No,Will icy wind cause the increase of wool coat purchases and heating system failures?,Yes,B_D,wool coat purchases,heating system failures,icy wind
100,Will the increase of portable hammock sales cause tree damage reports during forest leisure?,No,Will forest leisure cause the increase of portable hammock sales and tree damage reports?,Yes,B_D,portable hammock sales,tree damage reports,forest leisure
101,Will the increase of solar panel installations cause transformer overloads during green energy rebate month?,No,Will green energy rebate month cause the increase of solar panel installations and transformer overloads?,Yes,B_D,solar panel installations,transformer overloads,green energy rebate month
102,Will the increase of camping lantern rentals cause path obstruction reports during forest night trek?,No,Will forest night trek cause the increase of camping lantern rentals and path obstruction reports?,Yes,B_D,camping lantern rentals,path obstruction reports,forest night trek
103,Will the increase of rain boot sales cause sewer blockage reports during flash flood warning?,No,Will flash flood warning cause the increase of rain boot sales and sewer blockage reports?,Yes,B_D,rain boot sales,sewer blockage reports,flash flood warning
104,Will the increase of online concert ticket sales cause livestream lag reports during digital music gala?,No,Will digital music gala cause the increase of online concert ticket sales and livestream lag reports?,Yes,B_D,online concert ticket sales,livestream lag reports,digital music gala
105,Will the increase of fitness tracker sales cause gym overcrowding during corporate wellness month?,No,Will corporate wellness month cause the increase of fitness tracker sales and gym overcrowding?,Yes,B_D,fitness tracker sales,gym overcrowding,corporate wellness month
106,Will the increase of ski lift ticket sales cause shuttle bus breakdowns during alpine snow week?,No,Will alpine snow week cause the increase of ski lift ticket sales and shuttle bus breakdowns?,Yes,B_D,ski lift ticket sales,shuttle bus breakdowns,alpine snow week
107,Will the increase of fireworks sales cause ambulance siren calls during midsummer fireworks night?,No,Will midsummer fireworks night cause the increase of fireworks sales and ambulance siren calls?,Yes,B_D,fireworks sales,ambulance siren calls,midsummer fireworks night
108,Will the increase of electric scooter hires cause curbside accident alerts during mobility awareness day?,No,Will mobility awareness day cause the increase of electric scooter hires and curbside accident alerts?,Yes,B_D,electric scooter hires,curbside accident alerts,mobility awareness day
109,Will the increase of karaoke bar entries cause taxi shortage reports during nightlife festival?,No,Will nightlife festival cause the increase of karaoke bar entries and taxi shortage reports?,Yes,B_D,karaoke bar entries,taxi shortage reports,nightlife festival
110,Will the increase of online lecture views cause microphone failure reports during education innovation?,No,Will education innovation cause the increase of online lecture views and microphone failure reports?,Yes,B_D,online lecture views,microphone failure reports,education innovation
111,Will the increase of fruit juice sales cause stomach upset reports during tropical fruit fair?,No,Will tropical fruit fair cause the increase of fruit juice sales and stomach upset reports?,Yes,B_D,fruit juice sales,stomach upset reports,tropical fruit fair
112,Will the increase of bike lock sales cause key duplication warnings during urban cycling fair?,No,Will urban cycling fair cause the increase of bike lock sales and key duplication warnings?,Yes,B_D,bike lock sales,key duplication warnings,urban cycling fair
113,Will the increase of stroller purchases cause crosswalk congestion during baby expo?,No,Will baby expo cause the increase of stroller purchases and crosswalk congestion?,Yes,B_D,stroller purchases,crosswalk congestion,baby expo
114,Will the increase of reusable bottle sales cause dispenser shortage complaints during hydration awareness day?,No,Will hydration awareness day cause the increase of reusable bottle sales and dispenser shortage complaints?,Yes,B_D,reusable bottle sales,dispenser shortage complaints,hydration awareness day
115,Will the increase of bottled juice sales cause ambulance deployments during heatstroke drill day?,No,Will heatstroke drill day cause the increase of bottled juice sales and ambulance deployments?,Yes,B_D,bottled juice sales,ambulance deployments,heatstroke drill day
116,Will the increase of hiking rope purchases cause rescue helicopter delays during canyon climbing?,No,Will canyon climbing cause the increase of hiking rope purchases and rescue helicopter delays?,Yes,B_D,hiking rope purchases,rescue helicopter delays,canyon climbing
117,Will the increase of smart speaker sales cause network instability reports during tech discount?,No,Will tech discount cause the increase of smart speaker sales and network instability reports?,Yes,B_D,smart speaker sales,network instability reports,tech discount
118,Will the increase of gourmet spice sales cause shipment backlog during culinary festival?,No,Will culinary festival cause the increase of gourmet spice sales and shipment backlog?,Yes,B_D,gourmet spice sales,shipment backlog,culinary festival
119,Will the increase of vegetable seed sales cause irrigation line breaks during agricultural fair?,No,Will agricultural fair cause the increase of vegetable seed sales and irrigation line breaks?,Yes,B_D,vegetable seed sales,irrigation line breaks,agricultural fair
120,Will the increase of hiking stick sales cause first responder delays during mountain wellness?,No,Will mountain wellness cause the increase of hiking stick sales and first responder delays?,Yes,B_D,hiking stick sales,first responder delays,mountain wellness
121,Will the increase of frozen dinner sales cause microwave repair calls during frozen foods month?,No,Will frozen foods month cause the increase of frozen dinner sales and microwave repair calls?,Yes,B_D,frozen dinner sales,microwave repair calls,frozen foods month
122,Will the increase of harvest basket sales cause tractor detours during autumn harvest fair?,No,Will autumn harvest fair cause the increase of harvest basket sales and tractor detours?,Yes,B_D,harvest basket sales,tractor detours,autumn harvest fair
123,Will the increase of smoothie shop visits cause bicycle parking shortages during wellness?,No,Will wellness cause the increase of smoothie shop visits and bicycle parking shortages?,Yes,B_D,smoothie shop visits,bicycle parking shortages,wellness
124,Will the increase of reusable notebook sales cause printer error reports during green education?,No,Will green education cause the increase of reusable notebook sales and printer error reports?,Yes,B_D,reusable notebook sales,printer error reports,green education
125,Will the increase of fireworks permit requests cause police crowd control shifts during independence celebration?,No,Will independence celebration cause the increase of fireworks permit requests and police crowd control shifts?,Yes,B_D,fireworks permit requests,police crowd control shifts,independence celebration
126,Will the increase of pottery glaze purchases cause chemical spill reports during artisans gathering?,No,Will artisans gathering cause the increase of pottery glaze purchases and chemical spill reports?,Yes,B_D,pottery glaze purchases,chemical spill reports,artisans gathering
127,Will the increase of winter coat donations cause heating voucher shortages during charity drive week?,No,Will charity drive week cause the increase of winter coat donations and heating voucher shortages?,Yes,B_D,winter coat donations,heating voucher shortages,charity drive week
128,Will the increase of solar oven sales cause fire hazard reports during renewable cooking fair?,No,Will renewable cooking fair cause the increase of solar oven sales and fire hazard reports?,Yes,B_D,solar oven sales,fire hazard reports,renewable cooking fair
129,Will the increase of bus pass sales cause ferry overcrowding during intermodal transport festival?,No,Will intermodal transport festival cause the increase of bus pass sales and ferry overcrowding?,Yes,B_D,bus pass sales,ferry overcrowding,intermodal transport festival
130,Will the increase of air purifier rentals cause filter backlog notices during urban health expo?,No,Will urban health expo cause the increase of air purifier rentals and filter backlog notices?,Yes,B_D,air purifier rentals,filter backlog notices,urban health expo
131,Will the increase of bottled tea sales cause headache clinic visits during exam cramming?,No,Will exam cramming cause the increase of bottled tea sales and headache clinic visits?,Yes,B_D,bottled tea sales,headache clinic visits,exam cramming
132,Will the increase of surfboard rentals cause wave injury alerts during ocean sports carnival?,No,Will ocean sports carnival cause the increase of surfboard rentals and wave injury alerts?,Yes,B_D,surfboard rentals,wave injury alerts,ocean sports carnival
133,Will the increase of hot chocolate sales cause tent shortage reports during winter carnival?,No,Will winter carnival cause the increase of hot chocolate sales and tent shortage reports?,Yes,B_D,hot chocolate sales,tent shortage reports,winter carnival
134,Will the increase of cultural dance ticket sales cause shoe shortage notices during heritage dance festival?,No,Will heritage dance festival cause the increase of cultural dance ticket sales and shoe shortage notices?,Yes,B_D,cultural dance ticket sales,shoe shortage notices,heritage dance festival
135,Will the increase of lantern sales cause parking ticket spikes during cultural light parade?,No,Will cultural light parade cause the increase of lantern sales and parking ticket spikes?,Yes,B_D,lantern sales,parking ticket spikes,cultural light parade
136,Will the increase of ice sculpture sales cause chiller breakdowns during frozen arts gala?,No,Will frozen arts gala cause the increase of ice sculpture sales and chiller breakdowns?,Yes,B_D,ice sculpture sales,chiller breakdowns,frozen arts gala
137,Will the increase of student ID renewals cause hallway congestion during semester start?,No,Will semester start cause the increase of student ID renewals and hallway congestion?,Yes,B_D,student ID renewals,hallway congestion,semester start
138,Will the increase of gaming headset sales cause account reset requests during e-sports convention?,No,Will e-sports convention cause the increase of gaming headset sales and account reset requests?,Yes,B_D,gaming headset sales,account reset requests,e-sports convention
139,Will the increase of life jacket rentals cause dock crowding during boating safety?,No,Will boating safety cause the increase of life jacket rentals and dock crowding?,Yes,B_D,life jacket rentals,dock crowding,boating safety
140,Will the increase of weather app downloads cause signal outage complaints during storm preparedness?,No,Will storm preparedness cause the increase of weather app downloads and signal outage complaints?,Yes,B_D,weather app downloads,signal outage complaints,storm preparedness
141,Will the increase of electric bicycle rentals cause bridge congestion during eco-transport festival?,No,Will eco-transport festival cause the increase of electric bicycle rentals and bridge congestion?,Yes,B_D,electric bicycle rentals,bridge congestion,eco-transport festival
142,Will the increase of outdoor hammock sales cause tree inspection reports during park leisure day?,No,Will park leisure day cause the increase of outdoor hammock sales and tree inspection reports?,Yes,B_D,outdoor hammock sales,tree inspection reports,park leisure day
143,Will the increase of corn-on-cob sales cause farm animal escapes during rural harvest carnival?,No,Will rural harvest carnival cause the increase of corn-on-cob sales and farm animal escapes?,Yes,B_D,corn-on-cob sales,farm animal escapes,rural harvest carnival
144,Will the increase of solar watch sales cause malfunction returns during eco-fashion month?,No,Will eco-fashion month cause the increase of solar watch sales and malfunction returns?,Yes,B_D,solar watch sales,malfunction returns,eco-fashion month
